S.No,Scores,Grades,Pattern,Learning Speed,Subjects,Revision Habits,Final Marks
339,54,B,Declining,Slow,English,N,58
340,93,D,Consistent,Fast,Geography,Y,98
341,81,D,Improving,Fast,History,N,83
342,84,D,Improving,Average,Math,Y,94
343,41,B,Consistent,Average,Science,N,36
344,79,C,Declining,Average,History,N,65
345,63,C,Improving,Fast,Math,Y,57
346,44,B,Improving,Fast,History,N,51
347,71,C,Declining,Average,Science,N,69
348,53,B,Consistent,Average,History,N,48
349,49,B,Consistent,Slow,History,N,51
350,93,D,Declining,Fast,Math,N,109
351,81,D,Consistent,Fast,Geography,Y,81
352,79,C,Declining,Fast,History,N,63
353,79,C,Improving,Average,History,N,81
354,39,A,Consistent,Fast,Geography,Y,38
355,70,C,Improving,Fast,English,N,59
356,55,B,Declining,Slow,Science,N,59
357,46,B,Consistent,Fast,English,Y,39
358,50,B,Consistent,Average,Geography,N,44
359,67,C,Improving,Fast,English,N,80
360,59,B,Declining,Average,English,Y,50
361,56,B,Declining,Slow,Science,N,64
362,93,D,Consistent,Slow,Geography,Y,105
363,58,B,Declining,Average,Science,N,66
364,48,B,Declining,Average,Math,Y,51
365,98,D,Declining,Average,Geography,N,98
366,79,C,Consistent,Average,History,Y,82
367,31,A,Declining,Slow,English,N,37
368,74,C,Consistent,Slow,English,Y,88
369,54,B,Declining,Average,English,Y,64
370,60,C,Improving,Fast,History,N,71
371,39,A,Declining,Fast,English,Y,35
372,53,B,Consistent,Average,Science,N,55
373,37,A,Improving,Fast,Geography,N,43
374,41,B,Improving,Fast,Science,Y,40
375,66,C,Consistent,Slow,Science,N,70
376,30,A,Declining,Slow,Science,N,29
377,52,B,Consistent,Average,English,N,54
378,53,B,Declining,Average,Science,N,51
379,41,B,Consistent,Slow,Geography,Y,38
380,42,B,Consistent,Average,Science,N,50
381,87,D,Consistent,Fast,History,Y,88
382,76,C,Declining,Slow,Math,N,75
383,70,C,Declining,Fast,History,N,66
384,88,D,Consistent,Fast,History,N,102
385,66,C,Consistent,Slow,Math,Y,71
386,39,A,Consistent,Slow,Science,N,43
387,34,A,Declining,Slow,Geography,Y,32
388,30,A,Declining,Slow,Math,Y,30
389,82,D,Improving,Slow,History,N,92
390,46,B,Consistent,Fast,Math,Y,37
391,97,D,Consistent,Slow,Geography,Y,98
392,94,D,Consistent,Fast,English,N,104
393,58,B,Consistent,Average,Math,N,69
394,42,B,Consistent,Fast,History,Y,45
395,97,D,Declining,Fast,History,Y,109
396,90,D,Improving,Fast,Geography,Y,83
397,57,B,Improving,Slow,History,Y,48
398,96,D,Consistent,Average,Geography,Y,106
399,48,B,Declining,Slow,Geography,N,56
400,45,B,Consistent,Slow,History,N,43
401,37,A,Improving,Average,History,Y,37
402,35,A,Consistent,Fast,English,N,40
403,79,C,Declining,Fast,Geography,Y,87
404,34,A,Improving,Fast,History,N,33
405,47,B,Improving,Average,Geography,N,45
406,94,D,Improving,Average,Math,Y,77
407,84,D,Declining,Fast,Geography,Y,69
408,92,D,Declining,Slow,Science,N,95
409,48,B,Consistent,Fast,Math,N,51
410,50,B,Declining,Average,Geography,N,47
411,66,C,Declining,Slow,Science,Y,70
412,52,B,Declining,Fast,Geography,Y,61
413,70,C,Declining,Average,Geography,N,82
414,38,A,Declining,Average,Geography,N,40
415,58,B,Declining,Slow,Geography,Y,48
416,98,D,Consistent,Slow,Science,N,91
417,31,A,Declining,Fast,English,Y,35
418,84,D,Consistent,Slow,Math,N,91
419,48,B,Consistent,Average,History,Y,56
420,98,D,Consistent,Fast,English,Y,80
421,95,D,Consistent,Slow,English,Y,90
422,59,B,Declining,Slow,English,N,59
423,87,D,Declining,Average,Math,N,98
424,96,D,Improving,Slow,English,N,80
425,73,C,Declining,Slow,History,N,62
426,72,C,Declining,Slow,Science,Y,81
427,76,C,Declining,Slow,Math,N,65
428,74,C,Improving,Slow,History,Y,78
429,67,C,Improving,Slow,History,Y,64
430,90,D,Consistent,Fast,English,Y,101
431,76,C,Improving,Slow,Math,N,86
432,83,D,Declining,Average,Geography,Y,72
433,53,B,Consistent,Fast,History,Y,62
434,96,D,Consistent,Average,Science,N,107
435,77,C,Improving,Fast,Science,Y,69
436,93,D,Improving,Average,English,N,98
437,53,B,Improving,Slow,Math,Y,61
438,57,B,Improving,Average,Science,Y,58
439,38,A,Improving,Slow,Geography,Y,36
440,38,A,Improving,Slow,Geography,N,39
441,43,B,Improving,Slow,English,Y,42
442,72,C,Declining,Average,English,N,80
443,53,B,Declining,Average,Science,Y,63
444,35,A,Improving,Fast,Math,Y,41
445,35,A,Declining,Average,Science,N,33
446,44,B,Improving,Average,Science,N,36
447,85,D,Improving,Slow,Science,Y,80
448,74,C,Declining,Slow,History,N,76
449,67,C,Declining,Fast,Math,N,70
450,35,A,Consistent,Slow,Geography,Y,34
451,60,C,Declining,Slow,History,Y,56
452,49,B,Declining,Fast,English,N,48
453,45,B,Consistent,Average,English,N,40
454,85,D,Consistent,Slow,English,N,77
455,62,C,Improving,Average,Geography,Y,70
456,50,B,Declining,Average,English,N,40
457,30,A,Consistent,Fast,Science,Y,32
458,72,C,Improving,Average,Math,N,77
459,62,C,Improving,Average,History,Y,74
460,63,C,Consistent,Slow,Geography,N,58
461,62,C,Consistent,Slow,English,N,59
462,88,D,Improving,Fast,History,N,86
463,83,D,Improving,Fast,History,N,94
464,65,C,Declining,Average,Geography,N,58
465,36,A,Declining,Fast,Geography,Y,35
466,81,D,Consistent,Slow,Science,N,84
467,38,A,Consistent,Fast,English,N,36
468,33,A,Improving,Slow,Math,Y,34
469,35,A,Improving,Fast,History,N,37
470,67,C,Improving,Fast,History,Y,66
471,64,C,Declining,Average,Math,Y,71
472,90,D,Declining,Average,Science,N,100
473,44,B,Declining,Fast,Science,Y,45
474,60,C,Improving,Fast,History,Y,57
475,52,B,Improving,Slow,Science,Y,55
476,44,B,Improving,Average,Science,N,46
477,76,C,Improving,Average,Geography,Y,90
478,58,B,Declining,Slow,English,N,64
479,64,C,Consistent,Average,Geography,Y,52
480,76,C,Consistent,Average,Science,Y,90
481,47,B,Declining,Fast,Geography,Y,44
482,41,B,Declining,Fast,Math,Y,33
483,86,D,Declining,Average,English,Y,91
484,44,B,Improving,Average,English,Y,43
485,41,B,Improving,Slow,Geography,N,41
486,57,B,Improving,Average,English,Y,54
487,35,A,Consistent,Fast,Geography,N,34
488,72,C,Improving,Fast,Science,Y,66
489,81,D,Declining,Fast,History,Y,94
490,31,A,Improving,Fast,Science,Y,33
491,75,C,Consistent,Slow,Math,Y,74
492,84,D,Improving,Slow,History,Y,90
493,33,A,Consistent,Fast,Math,Y,29
494,41,B,Improving,Average,Geography,Y,46
495,64,C,Declining,Fast,Geography,N,71
496,66,C,Declining,Average,Math,N,66
497,88,D,Improving,Average,Science,Y,97
498,42,B,Consistent,Fast,Math,Y,37
499,66,C,Declining,Slow,Geography,Y,75
500,41,B,Consistent,Average,Math,N,40
501,66,C,Declining,Fast,Geography,N,77
502,91,D,Declining,Average,History,N,100
503,84,D,Consistent,Slow,History,N,86
504,77,C,Consistent,Average,Geography,Y,76
505,96,D,Declining,Average,Math,N,96
506,85,D,Declining,Average,Geography,Y,77
507,72,C,Consistent,Average,Geography,N,75
508,39,A,Improving,Average,Geography,Y,37
509,98,D,Consistent,Average,English,N,116
510,50,B,Declining,Slow,Geography,N,59
511,94,D,Consistent,Slow,English,Y,88
512,65,C,Declining,Slow,History,Y,52
513,96,D,Declining,Fast,Geography,N,95
514,74,C,Improving,Average,Science,Y,88
515,30,A,Declining,Average,History,Y,33
516,65,C,Declining,Fast,Science,N,69
517,94,D,Declining,Fast,English,N,105
518,46,B,Improving,Fast,Math,N,39
519,53,B,Consistent,Fast,History,Y,51
520,89,D,Declining,Average,Geography,Y,99
521,77,C,Declining,Average,Math,Y,85
522,72,C,Improving,Fast,English,Y,86
523,83,D,Consistent,Slow,Math,N,87
524,74,C,Improving,Slow,History,Y,83
525,91,D,Declining,Fast,Science,Y,99
526,95,D,Declining,Fast,Geography,Y,98
527,91,D,Declining,Slow,Math,Y,101
528,98,D,Consistent,Fast,Science,Y,98
529,73,C,Consistent,Slow,English,N,83
530,58,B,Declining,Slow,English,N,54
531,70,C,Consistent,Average,English,Y,73
532,90,D,Improving,Average,Science,N,80
533,63,C,Declining,Fast,Math,Y,52
534,74,C,Consistent,Average,Math,Y,84
535,72,C,Consistent,Fast,Math,Y,63
536,39,A,Consistent,Slow,Science,N,38
537,76,C,Consistent,Average,Math,Y,86
538,41,B,Declining,Fast,Geography,Y,41
539,78,C,Improving,Average,Math,N,75
540,31,A,Improving,Average,English,N,31
541,87,D,Declining,Fast,Geography,Y,83
542,87,D,Improving,Fast,English,N,91
543,35,A,Improving,Fast,Math,N,40
544,97,D,Declining,Average,Math,N,113
545,48,B,Declining,Average,English,Y,42
546,73,C,Declining,Average,English,Y,65
547,73,C,Consistent,Slow,Science,N,80
548,56,B,Declining,Fast,Math,N,52
549,68,C,Consistent,Slow,English,N,68
550,84,D,Declining,Fast,Geography,N,95
551,51,B,Improving,Average,Science,Y,50
552,77,C,Improving,Fast,Science,Y,85
553,51,B,Improving,Average,Science,N,46
554,35,A,Declining,Fast,History,Y,30
555,39,A,Improving,Average,Science,Y,44
556,92,D,Improving,Average,Geography,Y,104
557,37,A,Declining,Slow,English,Y,40
558,69,C,Improving,Slow,Math,Y,73
559,49,B,Improving,Slow,English,Y,40
560,37,A,Declining,Fast,History,N,42
561,53,B,Consistent,Average,English,N,63
562,30,A,Declining,Slow,History,Y,31
563,67,C,Improving,Fast,Geography,N,79
564,66,C,Declining,Fast,Math,Y,68
565,43,B,Improving,Average,Geography,Y,36
566,76,C,Declining,Slow,Science,N,66
567,66,C,Improving,Slow,English,N,58
568,70,C,Improving,Slow,Math,N,59
569,99,D,Declining,Slow,Math,N,91
570,51,B,Consistent,Fast,Science,N,55
571,32,A,Consistent,Average,Geography,Y,37
572,40,B,Declining,Average,History,N,46
573,100,F,Consistent,Slow,Science,Y,108
574,65,C,Improving,Average,History,Y,75
575,45,B,Improving,Average,History,Y,38
576,84,D,Declining,Fast,Math,Y,82
577,36,A,Declining,Slow,English,Y,42
578,69,C,Declining,Average,History,Y,57
579,54,B,Declining,Fast,Science,N,47
580,49,B,Declining,Fast,Math,Y,59
581,51,B,Declining,Average,Geography,N,57
582,40,B,Improving,Average,Science,N,36
583,92,D,Declining,Average,Math,Y,104
584,73,C,Improving,Fast,Science,Y,63
585,92,D,Consistent,Fast,Math,N,94
586,73,C,Improving,Fast,History,N,76
587,31,A,Consistent,Fast,History,N,29
588,90,D,Improving,Slow,History,N,79
589,97,D,Declining,Fast,English,Y,111
590,96,D,Declining,Fast,Math,N,83
591,62,C,Consistent,Slow,Math,Y,51
592,48,B,Consistent,Fast,Math,Y,44
593,74,C,Consistent,Slow,History,Y,76
594,62,C,Improving,Fast,English,Y,54
595,68,C,Consistent,Average,Science,N,79
596,87,D,Improving,Average,Science,N,102
597,65,C,Consistent,Average,Geography,Y,65
598,90,D,Improving,Fast,English,N,76
599,88,D,Improving,Average,Science,N,95
600,41,B,Consistent,Average,Math,Y,43
601,72,C,Declining,Slow,Geography,Y,77
602,69,C,Improving,Fast,Geography,Y,70
603,36,A,Improving,Average,Geography,N,36
604,41,B,Improving,Slow,English,N,48
605,37,A,Improving,Average,Math,Y,38
606,67,C,Declining,Slow,Math,Y,70
607,58,B,Consistent,Slow,History,N,54
608,54,B,Consistent,Slow,English,N,44
609,87,D,Declining,Average,English,Y,101
610,61,C,Consistent,Fast,Geography,N,62
611,91,D,Declining,Fast,Geography,Y,77
612,68,C,Declining,Slow,Geography,Y,80
613,58,B,Consistent,Slow,English,Y,62
614,95,D,Consistent,Slow,Geography,N,96
615,70,C,Improving,Average,Science,N,63
616,59,B,Declining,Slow,History,N,50
617,87,D,Consistent,Slow,English,N,82
618,82,D,Improving,Fast,Geography,Y,91
619,95,D,Consistent,Average,Geography,N,94
620,78,C,Declining,Fast,Science,N,70
621,45,B,Consistent,Average,Geography,Y,40
622,57,B,Improving,Average,History,Y,66
623,66,C,Improving,Average,English,Y,54
624,62,C,Declining,Fast,English,Y,72
625,84,D,Consistent,Slow,Math,Y,74
626,44,B,Consistent,Fast,History,Y,53
627,95,D,Consistent,Slow,Geography,Y,77
628,59,B,Improving,Average,Geography,N,53
629,83,D,Improving,Average,Science,N,80
630,40,B,Improving,Fast,English,N,40
631,71,C,Declining,Average,Science,Y,64
632,96,D,Consistent,Slow,History,Y,91
633,95,D,Improving,Average,Geography,Y,95
634,32,A,Improving,Fast,Geography,Y,30
635,91,D,Improving,Fast,Science,Y,85
636,47,B,Consistent,Slow,Science,Y,43
637,56,B,Consistent,Fast,Math,Y,57
638,84,D,Consistent,Fast,Geography,Y,94
639,62,C,Improving,Average,Science,N,69
640,95,D,Consistent,Fast,Geography,Y,112
641,42,B,Improving,Average,Science,Y,35
642,67,C,Improving,Fast,History,N,77
643,82,D,Consistent,Fast,English,Y,76
644,62,C,Improving,Slow,History,Y,62
645,69,C,Consistent,Slow,Math,Y,74
646,78,C,Consistent,Fast,Science,N,75
647,47,B,Declining,Slow,English,Y,53
648,63,C,Declining,Average,Science,N,51
649,40,B,Consistent,Average,Math,Y,45
650,47,B,Declining,Fast,Geography,N,46
