S.No,Study Hours,Study Frequency,Study Subjects,Study Type,Revision Frequency,Difficulty Level,Track of Hours
254,5,Weekly,History,Group study,Weekly,Medium,14
255,7,Daily,Geography,Online courses,Never,Easy,25
256,5,Bi-weekly,History,Group study,Weekly,Hard,13
257,2,Monthly,History,Group study,Never,Medium,5
258,5,Daily,Science,Online courses,Daily,Easy,10
259,4,Bi-weekly,Science,Online courses,Never,Easy,12
260,3,Bi-weekly,English,Online courses,Daily,Easy,9
261,3,Daily,Science,Group study,Never,Hard,6
262,1,Monthly,History,Online courses,Daily,Easy,23
263,3,Weekly,History,Group study,Daily,Easy,44
264,6,Daily,Science,Online courses,Weekly,Hard,35
265,2,Monthly,Math,Tutoring,Daily,Medium,25
266,1,Bi-weekly,History,Tutoring,Daily,Easy,13
267,3,Weekly,Science,Tutoring,Never,Medium,32
268,8,Daily,History,Tutoring,Weekly,Medium,40
269,3,Monthly,History,Self-study,Daily,Hard,43
270,5,Monthly,Science,Group study,Daily,Medium,50
271,7,Bi-weekly,Science,Self-study,Daily,Easy,25
272,8,Monthly,History,Self-study,Daily,Easy,29
273,6,Daily,English,Tutoring,Never,Medium,15
274,7,Daily,Geography,Online courses,Weekly,Hard,47
275,7,Weekly,History,Online courses,Daily,Medium,31
276,6,Weekly,Science,Self-study,Weekly,Medium,40
277,2,Weekly,Geography,Online courses,Weekly,Hard,14
278,5,Weekly,Geography,Self-study,Never,Medium,15
279,5,Monthly,Science,Group study,Never,Medium,22
280,7,Daily,English,Online courses,Never,Hard,7
281,5,Weekly,Math,Tutoring,Weekly,Medium,27
282,8,Monthly,History,Online courses,Never,Hard,21
283,4,Weekly,History,Self-study,Weekly,Medium,20
284,2,Bi-weekly,Science,Group study,Never,Medium,30
285,3,Bi-weekly,English,Online courses,Never,Easy,35
286,1,Daily,Science,Self-study,Daily,Easy,24
287,3,Daily,Geography,Tutoring,Never,Hard,25
288,2,Weekly,Science,Self-study,Daily,Easy,20
289,3,Monthly,History,Online courses,Daily,Easy,8
290,5,Weekly,History,Online courses,Weekly,Medium,20
291,8,Bi-weekly,History,Tutoring,Weekly,Hard,35
292,7,Weekly,Science,Group study,Never,Hard,7
293,3,Daily,Geography,Tutoring,Never,Easy,24
294,8,Daily,Science,Group study,Weekly,Hard,45
295,5,Weekly,Science,Online courses,Never,Easy,40
296,8,Weekly,Geography,Tutoring,Daily,Medium,20
297,3,Daily,Math,Group study,Weekly,Medium,9
298,6,Weekly,Geography,Group study,Daily,Easy,26
299,6,Monthly,English,Group study,Daily,Easy,49
300,4,Bi-weekly,Geography,Group study,Weekly,Medium,23
301,5,Weekly,English,Online courses,Never,Hard,29
302,1,Daily,History,Group study,Never,Hard,23
303,4,Daily,Science,Self-study,Weekly,Hard,5
304,8,Weekly,English,Online courses,Daily,Hard,43
305,1,Bi-weekly,Math,Online courses,Daily,Medium,46
306,8,Daily,Math,Online courses,Daily,Easy,26
307,3,Monthly,History,Self-study,Daily,Medium,21
308,5,Bi-weekly,History,Group study,Weekly,Easy,45
309,1,Daily,English,Online courses,Weekly,Medium,10
310,6,Daily,Geography,Group study,Daily,Medium,19
311,5,Bi-weekly,English,Group study,Weekly,Medium,26
312,3,Weekly,Math,Online courses,Never,Medium,24
313,6,Monthly,History,Online courses,Daily,Medium,11
314,4,Weekly,Geography,Self-study,Never,Medium,12
315,6,Weekly,Science,Self-study,Daily,Medium,47
316,8,Daily,History,Self-study,Weekly,Medium,26
317,5,Daily,English,Self-study,Never,Easy,46
318,1,Weekly,Geography,Group study,Daily,Easy,15
319,8,Monthly,English,Self-study,Never,Easy,48
320,8,Weekly,Math,Online courses,Daily,Medium,24
321,2,Bi-weekly,Science,Online courses,Weekly,Hard,45
322,3,Bi-weekly,English,Group study,Weekly,Medium,32
323,6,Weekly,Math,Tutoring,Daily,Medium,12
324,7,Daily,Geography,Tutoring,Daily,Medium,21
325,6,Weekly,Math,Self-study,Daily,Easy,15
326,4,Daily,English,Tutoring,Weekly,Easy,6
327,8,Weekly,Science,Group study,Never,Easy,43
328,4,Monthly,Geography,Online courses,Daily,Hard,13
329,3,Monthly,Geography,Tutoring,Daily,Easy,31
330,4,Bi-weekly,Science,Group study,Never,Hard,48
331,8,Bi-weekly,Math,Group study,Weekly,Hard,36
332,1,Monthly,Geography,Online courses,Never,Medium,35
333,3,Daily,Geography,Online courses,Never,Easy,14
334,3,Weekly,History,Online courses,Never,Hard,50
335,7,Bi-weekly,Science,Tutoring,Daily,Easy,36
336,1,Bi-weekly,History,Online courses,Daily,Medium,46
337,6,Bi-weekly,Geography,Self-study,Never,Easy,13
338,7,Daily,Geography,Self-study,Never,Hard,43
339,1,Daily,Science,Tutoring,Daily,Hard,46
340,3,Bi-weekly,History,Online courses,Never,Easy,19
341,3,Weekly,English,Self-study,Never,Easy,28
342,2,Monthly,Science,Group study,Daily,Medium,37
343,6,Monthly,Science,Online courses,Never,Medium,20
344,7,Daily,History,Online courses,Never,Medium,49
345,8,Daily,English,Self-study,Weekly,Medium,13
346,5,Daily,English,Online courses,Weekly,Medium,42
347,5,Monthly,History,Tutoring,Never,Medium,8
348,7,Daily,Math,Self-study,Never,Hard,8
349,7,Bi-weekly,Science,Group study,Weekly,Hard,16
350,7,Bi-weekly,Science,Online courses,Daily,Hard,41
351,8,Monthly,English,Group study,Never,Medium,22
352,5,Bi-weekly,Math,Group study,Weekly,Medium,21
353,7,Weekly,English,Group study,Daily,Easy,32
354,3,Monthly,Science,Group study,Daily,Easy,5
355,6,Monthly,Geography,Self-study,Daily,Hard,16
356,7,Daily,Science,Self-study,Daily,Easy,45
357,8,Weekly,Math,Online courses,Weekly,Hard,24
358,3,Weekly,Geography,Group study,Daily,Hard,20
359,1,Weekly,Math,Group study,Daily,Hard,32
360,4,Daily,Math,Group study,Daily,Medium,42
361,2,Monthly,History,Online courses,Never,Hard,36
362,2,Bi-weekly,History,Tutoring,Weekly,Easy,44
363,6,Bi-weekly,Math,Tutoring,Weekly,Easy,12
364,3,Daily,History,Group study,Weekly,Medium,34
365,8,Weekly,Math,Group study,Weekly,Medium,15
366,8,Weekly,Science,Group study,Never,Medium,41
367,1,Weekly,Math,Self-study,Weekly,Medium,19
368,3,Daily,History,Tutoring,Weekly,Easy,11
369,8,Weekly,Math,Self-study,Weekly,Hard,9
370,2,Weekly,Geography,Self-study,Weekly,Easy,11
371,6,Monthly,Math,Tutoring,Daily,Medium,34
372,3,Weekly,History,Tutoring,Never,Medium,49
373,3,Daily,Science,Online courses,Weekly,Easy,34
374,7,Bi-weekly,History,Online courses,Never,Hard,37
375,1,Monthly,Math,Tutoring,Never,Easy,48
376,2,Weekly,Geography,Tutoring,Never,Hard,17
377,2,Monthly,Science,Online courses,Daily,Hard,50
378,8,Daily,History,Self-study,Daily,Easy,8
379,6,Weekly,Geography,Tutoring,Daily,Hard,10
380,2,Monthly,Science,Tutoring,Never,Medium,38
381,7,Daily,English,Self-study,Never,Medium,40
382,4,Weekly,Geography,Tutoring,Never,Medium,29
383,3,Weekly,Geography,Online courses,Daily,Easy,26
384,6,Weekly,Science,Tutoring,Never,Easy,10
385,3,Bi-weekly,Science,Self-study,Daily,Easy,43
386,5,Weekly,Science,Group study,Daily,Medium,48
387,5,Monthly,Math,Self-study,Daily,Medium,10
388,1,Weekly,Science,Self-study,Weekly,Medium,32
389,7,Weekly,Math,Tutoring,Weekly,Hard,12
390,3,Monthly,Science,Online courses,Never,Medium,43
391,8,Monthly,Geography,Self-study,Daily,Medium,28
392,2,Bi-weekly,English,Tutoring,Never,Medium,9
393,4,Weekly,Science,Group study,Never,Medium,11
394,6,Monthly,Science,Group study,Weekly,Hard,27
395,8,Weekly,Math,Tutoring,Daily,Hard,11
396,7,Monthly,Science,Online courses,Weekly,Hard,30
397,8,Daily,Math,Self-study,Daily,Medium,12
398,3,Bi-weekly,Math,Group study,Weekly,Easy,41
399,2,Bi-weekly,English,Group study,Weekly,Medium,17
400,7,Daily,Math,Self-study,Daily,Easy,39
401,3,Weekly,History,Tutoring,Weekly,Medium,30
402,4,Monthly,Math,Group study,Never,Hard,12
403,7,Monthly,Math,Tutoring,Never,Medium,8
404,6,Weekly,Math,Group study,Weekly,Medium,32
405,3,Weekly,Geography,Self-study,Weekly,Medium,6
406,8,Daily,Geography,Self-study,Daily,Easy,28
407,3,Weekly,History,Self-study,Weekly,Medium,40
408,6,Bi-weekly,Math,Online courses,Never,Hard,36
409,4,Monthly,History,Online courses,Daily,Easy,18
410,2,Weekly,Science,Tutoring,Daily,Easy,14
411,2,Weekly,Math,Online courses,Daily,Easy,8
412,1,Weekly,Geography,Online courses,Daily,Medium,7
413,4,Monthly,Math,Group study,Weekly,Medium,40
414,6,Bi-weekly,Science,Online courses,Weekly,Easy,26
415,6,Bi-weekly,Science,Online courses,Daily,Medium,49
416,7,Bi-weekly,History,Tutoring,Weekly,Hard,36
417,7,Monthly,Science,Online courses,Daily,Medium,14
418,8,Daily,Math,Self-study,Weekly,Easy,42
419,2,Daily,Science,Online courses,Never,Hard,42
420,6,Weekly,Math,Online courses,Never,Easy,29
421,5,Weekly,English,Self-study,Weekly,Easy,29
422,1,Bi-weekly,Geography,Group study,Daily,Medium,12
423,2,Weekly,History,Self-study,Daily,Hard,11
424,3,Monthly,Math,Tutoring,Weekly,Medium,7
425,1,Monthly,English,Group study,Weekly,Easy,50
426,4,Monthly,Science,Self-study,Daily,Medium,44
427,4,Daily,Science,Online courses,Weekly,Medium,36
428,2,Weekly,Science,Self-study,Daily,Hard,25
429,4,Bi-weekly,Science,Online courses,Never,Hard,40
430,4,Daily,Science,Tutoring,Weekly,Easy,14
431,5,Bi-weekly,History,Self-study,Daily,Easy,27
432,8,Weekly,History,Group study,Never,Easy,31
433,4,Bi-weekly,English,Group study,Daily,Easy,47
434,8,Daily,History,Group study,Weekly,Medium,11
435,4,Monthly,English,Online courses,Daily,Easy,38
436,2,Weekly,Math,Tutoring,Never,Medium,31
437,4,Weekly,History,Online courses,Never,Medium,38
438,8,Daily,Math,Online courses,Daily,Medium,25
439,5,Daily,Geography,Online courses,Daily,Hard,46
440,6,Monthly,Math,Group study,Never,Hard,5
441,4,Weekly,Science,Tutoring,Weekly,Medium,18
442,4,Monthly,English,Self-study,Weekly,Easy,46
443,4,Daily,Geography,Group study,Never,Hard,5
444,5,Bi-weekly,Science,Group study,Never,Medium,12
445,4,Daily,Math,Self-study,Weekly,Easy,32
446,8,Bi-weekly,History,Group study,Weekly,Easy,41
447,2,Monthly,Science,Group study,Weekly,Easy,40
448,1,Monthly,English,Self-study,Never,Medium,17
449,5,Monthly,Science,Online courses,Never,Easy,11
450,4,Monthly,Geography,Online courses,Weekly,Easy,47
451,5,Monthly,History,Self-study,Daily,Medium,17
452,7,Weekly,English,Self-study,Daily,Medium,15
453,3,Monthly,Math,Self-study,Weekly,Hard,23
454,4,Bi-weekly,English,Group study,Weekly,Easy,42
455,1,Daily,English,Tutoring,Weekly,Hard,10
456,6,Monthly,English,Online courses,Never,Easy,16
457,6,Monthly,History,Online courses,Weekly,Easy,13
458,7,Weekly,English,Online courses,Weekly,Medium,43
459,5,Monthly,Science,Tutoring,Daily,Medium,45
460,1,Monthly,Science,Tutoring,Never,Easy,7
461,3,Weekly,Geography,Online courses,Daily,Easy,22
462,8,Weekly,Science,Tutoring,Daily,Easy,19
463,7,Monthly,History,Tutoring,Weekly,Medium,47
464,8,Monthly,English,Group study,Never,Easy,49
465,2,Monthly,Math,Group study,Daily,Hard,35
466,8,Bi-weekly,Math,Online courses,Daily,Medium,37
467,5,Monthly,Math,Tutoring,Never,Easy,38
468,3,Monthly,Math,Group study,Never,Medium,7
469,2,Weekly,History,Online courses,Never,Easy,38
470,7,Bi-weekly,Science,Self-study,Daily,Hard,23
471,4,Bi-weekly,Geography,Tutoring,Daily,Easy,20
472,4,Daily,Geography,Online courses,Daily,Hard,50
473,8,Daily,English,Online courses,Weekly,Hard,32
474,2,Daily,Science,Tutoring,Weekly,Hard,11
475,6,Daily,Geography,Online courses,Never,Medium,50
476,6,Weekly,Math,Group study,Never,Hard,49
477,6,Bi-weekly,Math,Tutoring,Weekly,Medium,48
478,7,Weekly,Science,Online courses,Weekly,Easy,50
479,4,Bi-weekly,History,Tutoring,Daily,Easy,17
480,3,Monthly,Geography,Self-study,Never,Medium,19
481,5,Daily,History,Self-study,Weekly,Medium,41
482,7,Monthly,Math,Online courses,Daily,Medium,17
483,1,Monthly,Geography,Self-study,Never,Easy,50
484,1,Bi-weekly,Math,Group study,Weekly,Easy,20
485,1,Monthly,History,Online courses,Weekly,Easy,24
486,1,Daily,Geography,Online courses,Never,Medium,18
487,7,Weekly,History,Self-study,Daily,Medium,7
488,5,Weekly,English,Group study,Daily,Easy,29
489,8,Monthly,Geography,Self-study,Daily,Hard,22
490,3,Monthly,Math,Self-study,Never,Hard,18
491,6,Bi-weekly,Science,Self-study,Weekly,Easy,7
492,4,Weekly,English,Online courses,Weekly,Hard,17
493,6,Weekly,English,Group study,Daily,Easy,23
494,3,Weekly,Math,Group study,Never,Easy,49
495,6,Bi-weekly,History,Online courses,Daily,Hard,42
496,2,Monthly,Geography,Group study,Never,Hard,45
497,1,Bi-weekly,History,Tutoring,Weekly,Easy,25
498,8,Bi-weekly,Science,Self-study,Weekly,Hard,44
499,6,Bi-weekly,Geography,Self-study,Weekly,Hard,15
500,1,Monthly,History,Group study,Never,Medium,32
501,1,Bi-weekly,English,Tutoring,Daily,Hard,39
502,8,Daily,Math,Online courses,Never,Hard,47
503,1,Bi-weekly,History,Self-study,Never,Easy,8
504,8,Bi-weekly,Science,Tutoring,Daily,Hard,37
505,1,Weekly,Math,Group study,Never,Easy,15
506,3,Daily,Math,Group study,Weekly,Hard,21
507,7,Bi-weekly,Math,Group study,Daily,Hard,41
508,8,Bi-weekly,History,Online courses,Daily,Hard,10
